fast,slow,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades
3,21,2.0,False,100.0,23.1475887298584,6.577144777279512,3.340264498739446,43.63636363636363,110
12,21,2.0,False,100.0,18.92440528869629,6.288314154302638,3.7586065495164354,56.36363636363636,55
5,13,2.0,False,100.0,21.906367111206055,6.2429598572396605,3.790709327412092,45.370370370370374,108
3,30,2.0,True,100.0,18.194603347778322,6.018306334076849,2.740173344445559,45.0,60
3,21,2.5,False,100.0,21.541450119018553,5.93164017164464,3.383890737557458,40.0,110
10,26,2.0,False,100.0,15.907114410400391,5.880438553254955,3.9131278612220863,56.86274509803921,51
5,13,2.5,False,100.0,21.205136489868163,5.847208539609713,3.8122426255003417,43.51851851851852,108
3,26,2.0,False,100.0,19.23464698791504,5.7497011645593155,3.599564424308664,42.57425742574257,101
5,21,2.0,False,100.0,19.788409423828124,5.726927334860756,3.9677814503954236,47.5,80
8,30,2.0,False,100.0,15.23692855834961,5.719401140661067,3.9555791676239966,52.94117647058824,51
3,13,2.0,True,100.0,18.778960037231446,5.702440047371475,3.478277056813334,43.13725490196079,102
12,30,1.5,False,100.0,11.211505508422851,5.579777086609567,1.784991208380698,51.06382978723404,47
3,21,2.0,True,100.0,18.799387741088864,5.525438539930068,3.248369108419122,43.75,80
3,30,2.0,False,100.0,18.850545501708986,5.481114645922943,3.9090273663526314,42.857142857142854,91
3,21,2.0,False,65.0,18.25006217956543,5.393177066762478,3.4072584278045666,40.95238095238095,105
5,13,2.0,True,100.0,17.86217842102051,5.379197982472629,3.163474948033824,46.15384615384615,78
12,30,2.0,True,100.0,13.292169570922852,5.3339724796269135,3.7411891923538034,57.14285714285714,35
3,21,2.5,True,100.0,18.48260078430176,5.301107798604704,3.265142105853326,40.0,80
3,13,2.5,True,100.0,17.18701286315918,5.221632666322536,3.7348748792947895,41.17647058823529,102
5,30,1.5,False,100.0,13.511802673339842,5.200835095264319,2.468398860823991,46.15384615384615,65
8,13,1.5,False,100.0,15.999116134643554,5.181976849304233,3.5510110512079196,46.590909090909086,88
3,26,2.0,True,100.0,15.784663772583007,5.13076695074735,2.8053572069315194,41.0958904109589,73
3,21,1.5,False,100.0,15.281664657592772,5.121793235604657,2.995057194380848,40.909090909090914,110
3,30,2.5,True,100.0,15.860489273071291,5.101992834179146,2.9219299608506533,41.66666666666667,60
8,21,1.5,False,100.0,12.764733123779298,5.089156259178795,3.6345581347885014,47.05882352941176,68
5,26,1.5,False,100.0,12.925844192504881,4.991088979052958,3.242626069207338,45.07042253521127,71
3,21,2.5,False,65.0,17.287441635131838,4.966769450078342,3.434327254878637,38.095238095238095,105
12,30,1.5,True,100.0,8.958288192749023,4.9647462475224975,1.6837769291825164,51.42857142857142,35
12,30,1.5,False,60.0,8.431478500366211,4.952530526610121,1.186109582627701,51.61290322580645,31
8,30,1.5,False,100.0,10.816859436035156,4.912461500911722,2.206264879803906,52.94117647058824,51
5,30,2.0,True,100.0,14.942680740356446,4.892714120330254,3.93776630953926,52.17391304347826,46
12,13,1.5,False,100.0,12.417375183105468,4.8860795362167595,2.5073288704058636,45.94594594594595,74
10,30,1.5,False,100.0,10.50953941345215,4.852242782243309,2.1629188010021188,57.14285714285714,49
3,21,2.0,False,60.0,16.163155364990235,4.825376010341793,3.4664917183212407,39.80582524271845,103
12,21,1.5,False,100.0,12.49965934753418,4.823870397037705,2.834700249407026,49.09090909090909,55
8,26,2.0,True,100.0,14.832292175292968,4.809101580114869,3.6762826610842834,52.38095238095239,42
12,26,2.0,True,100.0,13.085397338867189,4.77982393512108,3.7640820708168197,58.333333333333336,36
5,13,2.5,True,100.0,16.773325729370118,4.762225280932273,3.1573803721887552,44.871794871794876,78
8,13,1.5,True,100.0,13.265291213989258,4.750914839174082,2.3197182119412028,45.588235294117645,68
5,21,1.5,False,100.0,13.154244995117187,4.740916353105245,3.3771097528509144,41.25,80
8,13,2.0,True,100.0,16.4993106842041,4.727180432358916,3.609124345050765,45.588235294117645,68
5,13,2.0,False,65.0,16.04683952331543,4.724016650498195,3.8978217569240226,42.15686274509804,102
5,8,2.0,True,100.0,15.917450714111329,4.723353760861113,3.7590840033479136,40.77669902912621,103
8,30,2.0,True,100.0,12.97831916809082,4.708414375334492,3.7177561401991173,54.054054054054056,37
12,26,1.5,False,100.0,10.27016944885254,4.629127769581504,2.1650499321780083,53.06122448979592,49
5,13,1.5,False,100.0,14.220335006713865,4.622874276895068,3.3438669289763636,42.592592592592595,108
5,8,2.5,True,100.0,15.492829895019531,4.598809248947107,3.7867505603318223,40.77669902912621,103
10,30,2.0,True,100.0,12.487780761718751,4.583569742870522,3.3994791527183232,57.14285714285714,35
3,13,1.5,False,100.0,15.142615509033202,4.570544247989604,3.803534753927803,39.71631205673759,141
5,13,2.5,False,65.0,15.86920509338379,4.5236867389932955,3.903565026523195,41.17647058823529,102
3,26,1.5,False,100.0,12.02625846862793,4.52113211089359,2.9522170536241576,40.5940594059406,101
3,30,2.0,True,65.0,12.80665817260742,4.507517923325554,3.4778295852643275,41.07142857142857,56
3,26,2.5,False,100.0,15.655992126464843,4.500677074375449,3.7094022671958706,39.603960396039604,101
3,21,1.5,True,100.0,12.792976760864258,4.470231307922873,3.7389385929990944,41.25,80
10,21,2.0,True,100.0,13.60411262512207,4.463079171721281,3.724045538174023,47.91666666666667,48
3,13,2.0,True,65.0,13.919432449340821,4.433137506149454,3.500683114376473,40.816326530612244,98
3,21,2.5,False,60.0,15.20053482055664,4.411761399389678,3.6188674217726273,36.89320388349515,103
10,13,1.5,False,100.0,12.364013671875,4.376962149850436,3.1110139215445787,44.827586206896555,87
12,21,2.0,False,65.0,12.84789810180664,4.37393270358084,3.820144845854836,53.06122448979592,49
10,26,1.5,False,100.0,9.86609878540039,4.371358593975014,2.435896222919578,52.94117647058824,51
