ticker,timeframe,ema_fast,ema_slow,atr_mult,stop_mode,position_size,Return %,Sharpe,Max DD %,Trades,Avg Weekly Return %,Max Weekly Loss %
TQQQ,5m,5,13,2.5,intraday,0.5,-7.755563332474162,-1.4773240640695653,12.593601210887151,257,-0.326295791328119,-2.731083398635048
TQQQ,5m,5,13,2.5,intraday,0.7,-11.099681594116044,-1.4506886650853954,17.49180646513851,257,-0.4665948443160541,-3.8217073456293327
TQQQ,5m,5,13,2.5,intraday,0.9,-15.028978943521373,-1.5370408769819977,22.211031686913994,257,-0.6361622866117651,-4.989195656969903
TQQQ,5m,5,13,2.5,close_only,0.5,-7.811169499998345,-1.311081636996761,12.84625806676685,257,-0.29395726920172205,-2.8232251508860773
TQQQ,5m,5,13,2.5,close_only,0.7,-11.263068499998122,-1.2878637051552282,17.827894855959517,257,-0.42097768103429234,-4.04655603943731
TQQQ,5m,5,13,2.5,close_only,0.9,-15.26990849999753,-1.3717806716555472,22.337706872884997,257,-0.5760475596698131,-5.196060315994899
TQQQ,5m,5,13,3.5,intraday,0.5,3.019850412809592,0.5142125582684576,9.821136912482325,257,0.15167138592836693,-2.8659269502658624
TQQQ,5m,5,13,3.5,intraday,0.7,4.05341014793828,0.5155431396415501,13.638209781915982,257,0.21804346549887874,-4.050254994196534
TQQQ,5m,5,13,3.5,intraday,0.9,4.6412932279442884,0.49391403673794304,17.56865978552793,257,0.2740799297714469,-5.260637160585824
TQQQ,5m,5,13,3.5,close_only,0.5,3.5986227500015504,0.5823619065450563,9.516693088369918,257,0.18915764392219092,-2.6930707879568527
TQQQ,5m,5,13,3.5,close_only,0.7,4.885353250001867,0.5853970910308104,13.326614553351696,257,0.2730377543415696,-3.770882731816949
TQQQ,5m,5,13,3.5,close_only,0.9,5.850382000002628,0.5756178782264322,17.112001540150324,257,0.35237908803024576,-5.067946074320451
TQQQ,5m,5,13,4.5,intraday,0.5,2.945918243137794,0.49056179653527743,9.934093556947326,257,0.16305839179703827,-2.718943610641178
TQQQ,5m,5,13,4.5,intraday,0.7,3.8490957319416568,0.48289814530925307,13.900314624843338,257,0.23201312470026586,-3.7986418622603435
TQQQ,5m,5,13,4.5,intraday,0.9,4.815355451927189,0.4974084728620196,17.68918792426951,257,0.31062827119562547,-4.946726933800449
TQQQ,5m,5,13,4.5,close_only,0.5,5.648097500001586,0.8477902966733698,10.108199054872243,257,0.2705798742131562,-2.6950553096542595
TQQQ,5m,5,13,4.5,close_only,0.7,7.694448000001854,0.8376998617926051,14.123603807192456,257,0.38510174015996684,-3.7976060352095553
TQQQ,5m,5,13,4.5,close_only,0.9,9.6123452500025,0.8396087672202887,17.967533268439823,257,0.5010807937184141,-4.95234691128974
TQQQ,5m,5,13,,intraday,0.5,4.714564500001552,0.7216272825573976,10.290158172320508,257,0.23555030707925442,-2.700571519105599
TQQQ,5m,5,13,,intraday,0.7,6.438076500001875,0.7199413534529908,14.375461812377866,257,0.3391706910180954,-3.796076629956191
TQQQ,5m,5,13,,intraday,0.9,7.910696500002495,0.7172136572060672,18.28956045337636,257,0.4403622991501638,-4.949654917131574
TQQQ,5m,5,13,,close_only,0.5,4.714564500001552,0.7216272825573976,10.290158172320508,257,0.23555030707925442,-2.700571519105599
TQQQ,5m,5,13,,close_only,0.7,6.438076500001875,0.7199413534529908,14.375461812377866,257,0.3391706910180954,-3.796076629956191
TQQQ,5m,5,13,,close_only,0.9,7.910696500002495,0.7172136572060672,18.28956045337636,257,0.4403622991501638,-4.949654917131574
TQQQ,5m,8,21,2.5,intraday,0.5,0.17355794993103474,0.08522089325137626,8.029864317955699,163,-0.006262570963977474,-2.0659713166537474
TQQQ,5m,8,21,2.5,intraday,0.7,0.27463457048963846,0.11102304387018959,11.2408659054892,163,-0.0009251612793823583,-3.155519195419676
TQQQ,5m,8,21,2.5,intraday,0.9,-0.25893488390853464,0.06815176272470075,14.459441204926934,163,-0.018140823427409705,-4.038312246510801
TQQQ,5m,8,21,2.5,close_only,0.5,-0.7499727499989148,-0.08491956898538817,8.919127731891564,163,-0.02544853276150633,-2.4744436962226946
TQQQ,5m,8,21,2.5,close_only,0.7,-1.0912967499987758,-0.05977332032531761,12.57513687947767,163,-0.029251823558829954,-3.5664060846225754
TQQQ,5m,8,21,2.5,close_only,0.9,-1.8664207499982468,-0.07948157683579321,16.148246814573657,163,-0.04726605023440282,-4.685926963694542
TQQQ,5m,8,21,3.5,intraday,0.5,9.220106065527967,1.5271565429945588,6.461471037453072,163,0.3664683705133763,-1.8964171321833145
TQQQ,5m,8,21,3.5,intraday,0.7,12.771277405579735,1.502113856610566,9.147345520831841,163,0.5088546484703724,-2.678716806407322
TQQQ,5m,8,21,3.5,intraday,0.9,15.994934160167304,1.4718706515553448,12.028238425295704,163,0.6410283385478484,-3.4735645063809883
TQQQ,5m,8,21,3.5,close_only,0.5,10.044127500001059,1.4828372306115187,8.154173335033356,163,0.3890695174774072,-2.3711488154386617
TQQQ,5m,8,21,3.5,close_only,0.7,13.860723500001246,1.453639004819724,11.5731180176918,163,0.5394801338180955,-3.3574458043706956
TQQQ,5m,8,21,3.5,close_only,0.9,17.537377250001782,1.4310691900733186,15.082906243841043,163,0.6879553903800807,-4.365352488394258
TQQQ,5m,8,21,4.5,intraday,0.5,8.794228095265249,1.3017278967068673,8.4485584105022,163,0.3433842980356121,-2.2447885048686222
TQQQ,5m,8,21,4.5,intraday,0.7,11.99052051616402,1.2659076180190905,12.051394662821272,163,0.4733239997936329,-3.1887152698679144
TQQQ,5m,8,21,4.5,intraday,0.9,15.198577901149884,1.252430397396335,15.681727746450349,163,0.6079439021276696,-4.160669274036833
TQQQ,5m,8,21,4.5,close_only,0.5,8.319990000000985,1.2131690387999277,8.99336585389458,163,0.32789123573055123,-2.3936874699900246
TQQQ,5m,8,21,4.5,close_only,0.7,11.185561750001192,1.1666182684176034,12.715324955803823,163,0.44863215901454806,-3.4028030717174085
TQQQ,5m,8,21,4.5,close_only,0.9,13.921925250001731,1.1471620964969267,16.476983671260083,163,0.5696664910044307,-4.444570035269058
TQQQ,5m,8,21,,intraday,0.5,6.431434750001086,0.9604502063651583,9.243186855688768,163,0.25652275526865237,-2.395781236964112
TQQQ,5m,8,21,,intraday,0.7,8.60135450000123,0.9276918187710648,13.139489281878019,163,0.3526817893484066,-3.4072495640920075
TQQQ,5m,8,21,,intraday,0.9,10.51264950000168,0.9056466468476634,16.94390076450425,163,0.44555857879601796,-4.451652175887899
TQQQ,5m,8,21,,close_only,0.5,6.431434750001086,0.9604502063651583,9.243186855688768,163,0.25652275526865237,-2.395781236964112
TQQQ,5m,8,21,,close_only,0.7,8.60135450000123,0.9276918187710648,13.139489281878019,163,0.3526817893484066,-3.4072495640920075
TQQQ,5m,8,21,,close_only,0.9,10.51264950000168,0.9056466468476634,16.94390076450425,163,0.44555857879601796,-4.451652175887899
TQQQ,5m,8,30,2.5,intraday,0.5,1.3430983812051864,0.3335292553592279,5.636543693752419,120,0.0352025122681523,-2.285765296050213
TQQQ,5m,8,30,2.5,intraday,0.7,1.9968816664170164,0.36050864842651037,7.84168467827978,120,0.060117511161952276,-3.4309178826849585
TQQQ,5m,8,30,2.5,intraday,0.9,2.2565256045243585,0.34318949207113064,10.160086457040533,120,0.07137402799855284,-4.34201090618942
TQQQ,5m,8,30,2.5,close_only,0.5,1.8720385000006217,0.4317807204271514,6.488270113373846,120,0.07473763058655745,-2.43096580554486
TQQQ,5m,8,30,2.5,close_only,0.7,2.645583500000907,0.4416767246727064,9.207301652446017,120,0.11369567702221055,-3.4422241441274704
TQQQ,5m,8,30,2.5,close_only,0.9,3.27636175000132,0.4451059979902105,11.740344578346546,120,0.14955841999491998,-4.465736659067055
TQQQ,5m,8,30,3.5,intraday,0.5,10.373691266933111,1.8899222938787343,4.6256820299765975,120,0.3971658772581499,-2.36211599977344
TQQQ,5m,8,30,3.5,intraday,0.7,14.865466708072722,1.8762114341832477,6.385711227736665,120,0.5656244592436207,-3.3131554118319584
TQQQ,5m,8,30,3.5,intraday,0.9,18.900281090469733,1.8537092802817057,8.278805413748287,120,0.7149783670585452,-4.257978221398817
TQQQ,5m,8,30,3.5,close_only,0.5,13.196873250000749,2.0685805953695606,5.216070054521206,120,0.4792937496660153,-2.6393810497781223
TQQQ,5m,8,30,3.5,close_only,0.7,18.81899275000089,2.0504986771981124,7.170963981059579,120,0.6759494475648866,-3.6940623739595613
TQQQ,5m,8,30,3.5,close_only,0.9,24.076956250001217,2.0310050692077084,9.319524597933803,120,0.8551193882415075,-4.740628229058041
TQQQ,5m,8,30,4.5,intraday,0.5,11.282309317042495,1.750002635298171,5.374621744971883,120,0.40627742169817666,-2.301983982924982
TQQQ,5m,8,30,4.5,intraday,0.7,16.088136490457988,1.7392560716800878,7.786516728786708,120,0.5767151101877315,-3.229917868858756
TQQQ,5m,8,30,4.5,intraday,0.9,20.572033255515883,1.7253836015990536,10.074369490733023,120,0.7334610603264062,-4.157178192934885
TQQQ,5m,8,30,4.5,close_only,0.5,10.377783500000783,1.5750606100018736,6.197423638042931,120,0.3750952693476011,-2.4594612606869237
TQQQ,5m,8,30,4.5,close_only,0.7,14.667069750000813,1.55376897453303,8.862001268214504,120,0.5306591914062353,-3.4598412059776207
TQQQ,5m,8,30,4.5,close_only,0.9,18.763614250001208,1.5477756461497034,11.511060106460267,120,0.6784113424777155,-4.467432893042378
TQQQ,5m,8,30,,intraday,0.5,13.112915250000812,1.889952417340972,6.206132126695294,120,0.47760042721354123,-2.4563722649741826
TQQQ,5m,8,30,,intraday,0.7,18.631086750000872,1.8692466899039453,8.88363641223845,120,0.675277755614612,-3.45387080566959
TQQQ,5m,8,30,,intraday,0.9,23.649670000001265,1.8455007293222683,11.495502552725007,120,0.8530715436060166,-4.457793311415637
